inquiry_type,project_type,service_needed,budget_range,project_timeline,city,preferred_contact,message_length,lead_score
Bulk Order Inquiry,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Hyderabad,Email,249,0
Dealership Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Coimbatore,Email,276,1
Technical Support,Commercial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Kochi,Phone,109,0
General Feedback,Residential,Exterior Solutions,"Below ₹10,000",1-3 Months,Hyderabad,Email,264,0
Product Inquiry,Residential,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Coimbatore,Email,190,0
Product Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Mumbai,Email,118,1
Bulk Order Inquiry,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,WhatsApp,266,1
Dealership Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Madurai,Email,197,1
Product Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,Email,167,0
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",Urgent (Within 1 Week),Bengaluru,Email,138,0
Other,Industrial,Professional Painting,"Below ₹10,000",1-3 Months,Chennai,Phone,125,0
Dealership Inquiry,Industrial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Phone,137,1
Other,Commercial,Professional Painting,"Below ₹10,000",1-4 Weeks,Chennai,Phone,222,0
Dealership Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Hyderabad,WhatsApp,152,0
Dealership Inquiry,Commercial,Maintenance Program,"Below ₹10,000",3+ Months,Madurai,Phone,250,0
Other,Residential,Interior Solutions,"Below ₹10,000",1-4 Weeks,Bengaluru,WhatsApp,331,0
Technical Support,Commercial,Professional Painting,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,WhatsApp,108,0
General Feedback,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,WhatsApp,339,0
Bulk Order Inquiry,Residential,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Madurai,Email,46,0
Technical Support,Residential,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Pune,Phone,80,0
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Madurai,Phone,59,0
Bulk Order Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,WhatsApp,60,0
Bulk Order Inquiry,Commercial,Professional Painting,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Delhi,WhatsApp,209,1
Product Inquiry,Industrial,Maintenance Program,"Above ₹10,00,000",3+ Months,Coimbatore,WhatsApp,153,1
